studentId,class
1,11C
2,10B
3,11Q
4,10F
5,9E
6,1G
7,4I
8,3B
9,12Q
10,2N
11,12B
12,1Q
13,12M
14,3A
15,1B
16,2J
17,3A
18,2M
19,10W
20,6E
21,1E
22,6J
23,1P
24,7Q
25,7E
26,7D
27,2U
28,6X
29,8E
30,5O
31,9O
32,1K
33,1M
34,10K
35,2B
36,11N
37,8R
38,5M
39,6M
40,9G
41,10D
42,4Y
43,1Q
44,5M
45,2V
46,8G
47,12I
48,4Z
49,1B
50,11K
51,3C
52,9M
53,1D
54,6P
55,6O
56,7L
57,1F
58,2H
59,11R
60,11T
61,5A
62,9R
63,11D
64,2S
65,4K
66,8U
67,6U
68,11O
69,4X
70,4Z
71,9H
72,12E
73,12F
74,6P
75,12Q
76,10W
77,2S
78,12S
79,7G
80,11P
81,7O
82,4E
83,9J
84,4F
85,1L
86,8N
87,5W
88,3X
89,12I
90,9T
91,12A
92,1P
93,5C
94,3Q
95,2Q
96,7L
97,6X
98,7W
99,1L
100,3A
101,2K
102,10G
103,4J
104,11F
105,4N
106,8Z
107,4R
108,7H
109,11U
110,1X
111,6I
112,4K
113,12L
114,3P
115,2Y
116,4D
117,7Y
118,11V
119,5R
120,12G
121,12O
122,8K
123,1E
124,5Z
125,7X
126,6N
127,12B
128,7V
129,9E
130,4C
131,6G
132,1O
133,6A
134,1K
135,11M
136,7C
137,1W
138,9O
139,12B
140,2F
141,2N
142,6A
143,1O
144,3F
145,6B
146,8V
147,10O
148,9Q
149,11U
150,12E
151,2E
152,7H
153,1A
154,5A
155,4B
156,3P
157,12V
158,12X
159,3B
160,9D
161,2M
162,5S
163,12R
164,5T
165,9N
166,12Q
167,2U
168,5D
169,6Z
170,10J
171,9Y
172,7D
173,6F
174,5B
175,12W
176,9E
177,4O
178,7N
179,12T
180,7T
181,5D
182,8F
183,12Z
184,12H
185,10A
186,8J
187,7R
188,4F
189,6F
190,2C
191,2W
192,1B
193,6D
194,7G
195,7G
196,3V
197,5H
198,9C
199,9P
200,3Z
201,3I
202,7J
203,11K
204,7D
205,10C
206,10T
207,7T
208,3O
209,8M
210,11V
211,6G
212,10Y
213,12V
214,1J
215,12J
216,2W
217,12M
218,6I
219,10O
220,5N
221,4X
222,1M
223,10B
224,9X
225,11V
226,5M
227,11K
228,10V
229,12W
230,7W
231,8D
232,11S
233,2G
234,7Z
235,10Z
236,2K
237,7C
238,11D
239,12Q
240,6C
241,9K
242,2A
243,11X
244,4E
245,10N
246,12O
247,7I
248,2A
249,3J
250,1R
251,9A
252,12Z
253,5E
254,4Y
255,8W
256,11B
257,5Y
258,8Z
259,6E
260,6J
261,6J
262,1W
263,2L
264,6U
265,8W
266,9J
267,2T
268,10X
269,2T
270,9O
271,11E
272,12Z
273,10R
274,5X
275,7T
276,5G
277,11N
278,10H
279,8O
280,10F
281,6Q
282,9M
283,12S
284,1B
285,3P
286,10R
287,8T
288,11F
289,7L
290,1A
291,5V
292,3Y
293,8W
294,7Z
295,10Q
296,4W
297,9G
298,1U
299,7C
300,1F
301,3C
302,2A
303,7K
304,2D
305,7Y
306,8I
307,6G
308,11Y
309,3E
310,4D
311,4G
312,3O
313,11A
314,12Z
315,8E
316,9X
317,4L
318,6A
319,1Y
320,4I
321,9Y
322,1F
323,6P
324,5N
325,5E
326,3K
327,2R
328,7Z
329,8Z
330,3N
331,4A
332,12S
333,8X
334,11M
335,11U
336,6F
337,7K
338,9N
339,2K
340,5R
341,2B
342,6W
343,6R
344,7O
345,3V
346,11R
347,1P
348,12A
349,5V
350,10H
351,6J
352,8N
353,2N
354,10X
355,5D
356,2Z
357,9H
358,12Q
359,10E
360,12W
361,4Y
362,7N
363,12A
364,1I
365,6P
366,6D
367,5E
368,3T
369,1O
370,5A
371,2A
372,3B
373,2F
374,2C
375,7I
376,6O
377,11R
378,6L
379,6S
380,4N
381,3L
382,12V
383,2Q
384,8W
385,5B
386,5O
387,11E
388,9K
389,1L
390,3R
391,8P
392,9S
393,1D
394,3K
395,2O
396,4R
397,6B
398,6J
399,11K
400,10N
401,3S
402,10W
403,7H
404,2Q
405,3G
406,6F
407,1C
408,5Y
409,8T
410,10S
411,12Z
412,10O
413,9Z
414,8P
415,1A
416,8F
417,2H
418,9Y
419,4G
420,4W
421,1K
422,6H
423,5I
424,9I
425,7D
426,6W
427,1C
428,12V
429,4I
430,11R
431,3X
432,4B
433,6T
434,8F
435,7F
436,6V
437,6O
438,4Q
439,11Y
440,6Q
441,9Z
442,10T
443,12K
444,6Q
445,10Y
446,2Y
447,5J
448,8A
449,3E
450,6R
451,5K
452,1V
453,7A
454,12Q
455,1J
456,8B
457,11I
458,12W
459,3K
460,12E
461,10O
462,4S
463,5P
464,5Q
465,4J
466,7V
467,3W
468,11Q
469,9R
470,9O
471,11J
472,11D
473,11M
474,7Z
475,7M
476,2S
477,12I
478,10N
479,10O
480,1O
481,8T
482,1I
483,8Q
484,7B
485,4M
486,5M
487,11W
488,5O
489,8Z
490,10D
491,10C
492,8R
493,10N
494,12Y
495,4X
496,5G
497,12S
498,7G
499,10V
500,6N
501,6X
502,9I
503,5L
504,10T
505,12B
506,10Z
507,11I
508,4X
509,11L
510,4I
511,8I
512,11N
513,5I
514,5I
515,11O
516,2O
517,12C
518,5V
519,5Q
520,7N
521,6U
522,7L
523,1U
524,11M
525,3S
526,2K
527,11H
528,12V
529,4O
530,4G
531,10F
532,12E
533,10Q
534,9O
535,10B
536,10B
537,5U
538,12J
539,7J
540,10H
541,7L
542,11D
543,2P
544,9C
545,2G
546,8W
547,4T
548,7B
549,1S
550,4C
551,6T
552,7O
553,7Z
554,4K
555,8X
556,5X
557,6H
558,10V
559,3O
560,8Y
561,5Y
562,9K
563,2M
564,12I
565,4D
566,5Q
567,1K
568,10S
569,1R
570,12S
571,2W
572,7J
573,3Q
574,2Y
575,5A
576,1Y
577,12U
578,1C
579,9Y
580,9I
581,12B
582,7F
583,1V
584,9F
585,6W
586,9B
587,11A
588,5X
589,7S
590,5Z
591,3H
592,2I
593,9V
594,3M
595,12Q
596,12M
597,2X
598,9W
599,7D
600,4R
601,9M
602,3J
603,3Q
604,10U
605,7B
606,12E
607,8M
608,5E
609,2E
610,5B
611,4M
612,8O
613,4W
614,1C
615,3E
616,9L
617,1H
618,2W
619,7P
620,3Q
621,3N
622,7J
623,8N
624,12E
625,7R
626,4J
627,1X
628,11Y
629,8S
630,4G
631,8H
632,6S
633,6G
634,2O
635,4Z
636,3H
637,6P
638,8V
639,11M
640,8I
641,5D
642,4G
643,10S
644,2O
645,3X
646,5F
647,5B
648,11D
649,5F
650,1T
651,4W
652,6H
653,10A
654,6I
655,4H
656,9W
657,5H
658,11Y
659,4C
660,2A
661,10E
662,9I
663,3T
664,9W
665,6E
666,1T
667,11G
668,3P
669,3I
670,11L
671,10X
672,12B
673,4F
674,2H
675,4L
676,7S
677,10P
678,7Q
679,8E
680,7J
681,11X
682,6S
683,7M
684,12T
685,9O
686,12F
687,7O
688,10H
689,8V
690,8F
691,3B
692,10J
693,3H
694,11V
695,8G
696,6I
697,4C
698,4U
699,6P
700,11E
701,10D
702,3Y
703,1N
704,6G
705,12H
706,12V
707,7L
708,8M
709,7I
710,1D
711,11V
712,12Z
713,9T
714,6X
715,9S
716,4O
717,10H
718,8L
719,2M
720,9R
721,12B
722,12M
723,2P
724,5L
725,10Q
726,4C
727,2Z
728,7V
729,10B
730,8S
731,11M
732,4X
733,9W
734,1F
735,9A
736,9T
737,5Y
738,10R
739,5U
740,11A
741,8D
742,9U
743,2Z
744,2I
745,12N
746,7Y
747,5N
748,11Y
749,9P
750,8L
751,7X
752,2R
753,6Z
754,3Q
755,9D
756,6K
757,5C
758,7V
759,11I
760,12Z
761,1K
762,7E
763,2Z
764,7O
765,10M
766,7L
767,3L
768,11N
769,8O
770,9F
771,5V
772,10H
773,2A
774,2P
775,4R
776,9D
777,10M
778,10C
779,11D
780,3M
781,11U
782,8W
783,8Q
784,10Q
785,11C
786,2W
787,5T
788,2C
789,4L
790,8G
791,7W
792,5J
793,1M
794,12E
795,6K
796,1C
797,4T
798,7H
799,6I
800,2P
801,1Q
802,12Z
803,3H
804,4W
805,3D
806,12R
807,1N
808,5X
809,8W
810,2R
811,4S
812,5J
813,10G
814,10Q
815,6U
816,7P
817,1M
818,7K
819,5P
820,6T
821,4W
822,10L
823,12N
824,10I
825,5Q
826,1O
827,11K
828,8T
829,12Y
830,10H
831,10G
832,1N
833,3E
834,5K
835,4C
836,3R
837,12P
838,1T
839,2Z
840,3B
841,10K
842,2M
843,2S
844,3D
845,2D
846,11H
847,11O
848,7N
849,11P
850,10I
851,4R
852,10P
853,9M
854,3W
855,11N
856,10U
857,2Y
858,2W
859,8N
860,10R
861,1W
862,10D
863,4V
864,3S
865,1Y
866,10U
867,5Y
868,1B
869,2Q
870,5J
871,2P
872,5F
873,8N
874,8M
875,12J
876,11Y
877,8H
878,8V
879,5K
880,5W
881,1P
882,10V
883,11J
884,7X
885,4T
886,12O
887,6C
888,8W
889,5D
890,9J
891,2X
892,10S
893,8M
894,4P
895,2L
896,1C
897,10A
898,10D
899,9D
900,11B
901,3G
902,5U
903,10K
904,6Z
905,10K
906,3H
907,3B
908,11A
909,11B
910,9N
911,5R
912,11M
913,4S
914,9A
915,3I
916,12I
917,9P
918,2Q
919,10G
920,10H
921,3Q
922,1S
923,10C
924,2W
925,4G
926,3E
927,1M
928,7I
929,3L
930,7K
931,4J
932,3G
933,9M
934,11Q
935,2T
936,1H
937,8O
938,7Z
939,5Z
940,11A
941,8T
942,1V
943,5N
944,3G
945,10N
946,3P
947,1X
948,10A
949,4X
950,5W
951,12R
952,1P
953,10C
954,5P
955,2D
956,9I
957,3S
958,5S
959,9Z
960,11N
961,2Y
962,11M
963,4L
964,3J
965,7U
966,10V
967,10N
968,4J
969,12P
970,2S
971,8Y
972,8R
973,12T
974,9B
975,1A
976,10R
977,3L
978,7H
979,4O
980,6A
981,7Y
982,10Q
983,11C
984,9L
985,9P
986,7N
987,2D
988,7M
989,10N
990,5C
991,1B
992,2B
993,3B
994,9A
995,11Q
996,11E
997,3Z
998,6Q
999,9G
1000,7H
1001,6L
1002,3E
1003,7K
1004,11X
1005,4O
1006,5H
1007,12Q
1008,10P
1009,4K
1010,10J
1011,3S
1012,6D
1013,8B
1014,3C
